name,city,state,country,address,Longitude,Latitude,Municipalities,Website
BE-6820 Florenville,Florenville, Wallonie, Belgium,"41-53 Rue de la Station Florenville, Luxembourg, Wallonie Belgium",5.3201589365234,49.699982942781, Luxembourg,
BE-6810 Chiny Castle Cemetery,Chiny, Wallonie, Belgium,"9 Rue du Fort Chiny, Luxembourg, Wallonie Belgium",5.3439767999307,49.741841600506, Luxembourg,
BE-6810 Cimeti�re Communal de Chiny,Chiny, Wallonie, Belgium,"42 Rue de Cornicelles Chiny, Luxembourg, Wallonie, 6810 Belgium",5.3412397962952,49.740938534197, Luxembourg,
BE-6820 La Cuisine cemetery ,Florenville, Wallonie, Belgium,"9 Rue du Ch�ne Florenville, Luxembourg, Wallonie Belgium",5.3167235939179,49.715179710853, Luxembourg,
BE-6640 Cimeti�re de rosi�res la grande,Vaux-sur-S�re, Wallonie, Belgium,"35 Rosi�re la Grande Vaux-sur-S�re, Luxembourg, Wallonie, 6640 Belgium",5.581562,49.92064, Luxembourg,
BE-6640 Commonwealth War Grave Vaux-sur-S�re,Vaux-sur-S�re, Wallonie, Belgium,"2 Bercheux Vaux-sur-S�re, Luxembourg, Wallonie Belgium",5.5417176269837,49.898363842189, Luxembourg,
BE-6810 Chiny,Chiny, Wallonie, Belgium,"2 Rue des Combattants Chiny, Luxembourg, Wallonie Belgium",5.4044154880829,49.764269586288, Luxembourg,
BE-6640 Cimeti�re de Remichampagne,Vaux-sur-S�re, Wallonie, Belgium,"35 Remichampagne Vaux-sur-S�re, Luxembourg, Wallonie, 6640 Belgium",5.64061,49.935209283047, Luxembourg,
BE-war Cement House Cemetery,Langemark-Poelkapelle, Vlaanderen, Belgium,"150-156 Boezingestraat Langemark-Poelkapelle, West-Vlaanderen, Vlaanderen, 8920 Belgium",2.9069336441803,50.904682937061, West-Vlaanderen,
BE-6760 Aux Victimes de la Barbarie Allemande,Virton, Wallonie, Belgium,"18-34 Rue des Martyrs Virton, Luxembourg, Wallonie Belgium",5.5902543730164,49.56361, Luxembourg,
BE-war Canada Farm Cemetery,Ieper, Vlaanderen, Belgium,"3 Elzendammestraat Ieper, West-Vlaanderen, Vlaanderen, 8906 Belgium",2.7818114576721,50.887855245548, West-Vlaanderen,
BE-war Buffs Road Cemetery,Ieper, Vlaanderen, Belgium,"7 Hogeziekenweg Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.9164914576721,50.876515531935, West-Vlaanderen,
BE-6680 Laval,Sainte-Ode, Wallonie, Belgium,"Laval Sainte-Ode, Luxembourg, Wallonie Belgium",5.57433496,50.0111628, Luxembourg,
BE-6680 Tillet,Sainte-Ode, Wallonie, Belgium,"82 Tillet Sainte-Ode, Luxembourg, Wallonie, 6680 Belgium",5.527095,50.01015, Luxembourg,
BE-war Britse Militaire Begraafplaats Geel,Geel, Vlaanderen, Belgium,"8 Tweeboomkes Geel, Antwerpen, Vlaanderen Belgium",5.0152371951065,51.164745904913, Antwerpen,
BE-war Bridge House Cemetery,Langemark-Poelkapelle, Vlaanderen, Belgium,"Roeselarestraat Langemark-Poelkapelle, West-Vlaanderen, Vlaanderen, 8920 Belgium",2.936926,50.879437, West-Vlaanderen,
BE-war Brandhoek New Military Cemetery,Ieper, Vlaanderen, Belgium,"36 Zevekotestraat Ieper, West-Vlaanderen, Vlaanderen, 8908 Belgium",2.7881907288361,50.852845174352, West-Vlaanderen,
BE-6637 Fauvillers,Fauvillers, Wallonie, Belgium,"Rue du Monument Fauvillers, Luxembourg, Wallonie Belgium",5.707659090271,49.922677508149, Luxembourg,
BE-war Brandhoek New Military Cemetery No 3,Ieper, Vlaanderen, Belgium,"19 Zevekotestraat Ieper, West-Vlaanderen, Vlaanderen, 8908 Belgium",2.787914,50.851959, West-Vlaanderen,
BE-war Blauwepoort Farm Cemetery,Ieper, Vlaanderen, Belgium,"34 Komenseweg Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.9081507288361,50.829259669928, West-Vlaanderen,
BE-war Bleuet Farm Cemetery,Ieper, Vlaanderen, Belgium,"5 Vroedenhofstraat Ieper, West-Vlaanderen, Vlaanderen, 8906 Belgium",2.83169,50.888946159895, West-Vlaanderen,
BE-war Brandhoek Military Cemetery,Ieper, Vlaanderen, Belgium,"14-22 Grote Branderstraat Ieper, West-Vlaanderen, Vlaanderen, 8908 Belgium",2.791029,50.852855, West-Vlaanderen,
BE-war Chester Farm Cemetery,Ieper, Vlaanderen, Belgium,"1918 Vaartstraat Ieper, West-Vlaanderen, Vlaanderen Belgium",2.9014114576721,50.82140966651, West-Vlaanderen,
BE-war Bethleem Farm West Cemetery,Messines, Vlaanderen, Belgium,"38 Rue de Lille Messines, West-Vlaanderen, Vlaanderen Belgium",2.9066814576721,50.758763573844, West-Vlaanderen,
BE-war Bus House Cemetery,Ieper, Vlaanderen, Belgium,"58-64 Sint-Elooisweg Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.8870563558197,50.813062883836, West-Vlaanderen,
BE-war Birr Cross Roads Cemetery,Ieper, Vlaanderen, Belgium,"414 Meenseweg Ieper, West-Vlaanderen, Vlaanderen Belgium",2.92859,50.847419677838, West-Vlaanderen,
BE-war Cabin Hill Cemetery,Heuvelland, Vlaanderen, Belgium,"Waterputstraat Heuvelland, West-Vlaanderen, Vlaanderen Belgium",2.90496,50.773876076368, West-Vlaanderen,
BE-6600 Cimitero di Guerra Tedesco,Bastogne, Wallonie, Belgium,"27 Recogne Bastogne, Luxembourg, Wallonie Belgium",5.7426015413475,50.048471635278, Luxembourg,
BE-war Bethleem Farm East Cemetery,Comines-Warneton, Vlaanderen, Belgium,"2-6 Rue de Warneton Comines-Warneton, West-Vlaanderen, Vlaanderen Belgium",2.911305364418,50.760856606691, West-Vlaanderen,
"BE-war Buttes New British Cemetery, Polygon Wood",Zonnebeke, Vlaanderen, Belgium,"5 Lange Dreve Zonnebeke, West-Vlaanderen, Vlaanderen, 8980 Belgium",2.991817,50.855877, West-Vlaanderen,
BE-war Bedford House Cemetery,Ieper, Vlaanderen, Belgium,"Waastensestraat Ieper, West-Vlaanderen, Vlaanderen, 8902 Belgium",2.8905643730163,50.828593223212, West-Vlaanderen,
BE-war Belgian Battery Corner Cemetery,Ieper, Vlaanderen, Belgium,"14 Omloopstraat Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.8615307288361,50.839249348568, West-Vlaanderen,
BE-6600 Ancien cimeti�re civil,Bastogne, Wallonie, Belgium,"43 Rue de La-Roche Bastogne, Luxembourg, Wallonie Belgium",5.7169576441804,50.008083305766, Luxembourg,
BE-6540 Lobbes,Lobbes, Wallonie, Belgium,"8 Rue du Cimeti�re Lobbes, Hainaut, Wallonie, 6540 Belgium",4.2723302883605,50.352999066512, Hainaut,
BE-6567 Merbes-Sainte-Marie,Merbes-le-Ch�teau, Wallonie, Belgium,"50 Route de l'�tat Merbes-le-Ch�teau, Hainaut, Wallonie Belgium",4.1643312037048,50.35579154811, Hainaut,
BE-6536 Thuillies,Thuin, Wallonie, Belgium,"22 Rue du 11 Novembre Thuin, Hainaut, Wallonie, 6536 Belgium",4.3326638306885,50.291333582073, Hainaut,
BE-6500 Solre-Saint-Gery,Beaumont, Wallonie, Belgium,"17 Rue Basimont Beaumont, Hainaut, Wallonie, 6500 Belgium",4.249086441803,50.22084805245, Hainaut,
BE-6500 Renlies,Beaumont, Wallonie, Belgium,"18 Rue Tilly Beaumont, Hainaut, Wallonie, 6500 Belgium",4.2684814576721,50.192233331811, Hainaut,
BE-war Belgische militaire begraafplaats van Ramskapelle,Nieuwpoort, Vlaanderen, Belgium,"43-59 N356 Nieuwpoort, West-Vlaanderen, Vlaanderen Belgium",2.76405,51.113996323648, West-Vlaanderen,
BE-6531 Biesmes-sous-Thuin,Thuin, Wallonie, Belgium,"70 Rue Floch�re Thuin, Hainaut, Wallonie, 6531 Belgium",4.3061751865082,50.317300104472, Hainaut,
BE-6500 Cimeti�re de Beaumont,Beaumont, Wallonie, Belgium,"Rue du Cimeti�re Beaumont, Hainaut, Wallonie, 6500 Belgium",4.2428992711639,50.241087234583, Hainaut,
BE-6470 Sivry,Sivry-Rance, Wallonie, Belgium,"Rue de l'Etang Sivry-Rance, Hainaut, Wallonie, 6470 Belgium",4.178947609787,50.170016630755, Hainaut,
BE-6500 Barben�on,Beaumont, Wallonie, Belgium,"11 Rue des R�collets Beaumont, Hainaut, Wallonie, 6500 Belgium",4.2784455092622,50.223943482373, Hainaut,
BE-6470 Sautin,Sivry-Rance, Wallonie, Belgium,"Rue de Sourenne Sivry-Rance, Hainaut, Wallonie, 6470 Belgium",4.2229980171967,50.164620545824, Hainaut,
BE-6464 L'escaill�re,Chimay, Wallonie, Belgium,"Rue de l'Eau Noire Chimay, Hainaut, Wallonie, 6464 Belgium",4.433103,49.942801, Hainaut,
BE-6470 Rance,Sivry-Rance, Wallonie, Belgium,"23 N53 Sivry-Rance, Hainaut, Wallonie, 6470 Belgium",4.2694255092621,50.144035039634, Hainaut,
BE-war Bard Cottage Cemetery,Ieper, Vlaanderen, Belgium,"215-221 Diksmuidseweg Ieper, West-Vlaanderen, Vlaanderen, 8900 Belgium",2.868998,50.876476, West-Vlaanderen,
BE-6470 Grandrieu,Sivry-Rance, Wallonie, Belgium,"6 Rue Poterie Sivry-Rance, Hainaut, Wallonie, 6470 Belgium",4.1748256269836,50.203229148272, Hainaut,
BE-6470 Montbliart,Sivry-Rance, Wallonie, Belgium,"Rue du Onze Novembre Sivry-Rance, Hainaut, Wallonie, 6470 Belgium",4.2280287460327,50.135663845402, Hainaut,
