"name","city","state","country","address","Longitude","Latitude","Municipalities","Website",""
"Ladek, cmentarz parafialny","Ladek-Zdr�j"," Lower Silesian Voivodeship"," Poland","33 Sniezna Ladek-Zdr�j, Powiat Klodzki, Lower Silesian Voivodeship, 57-540 Poland","16.871332576872","50.342495046589"," Powiat Klodzki","",""
"Torun, Cm. Komunalny nr 1 (Garnizonowy)","Torun"," Kuyavian-Pomeranian Voivodeship"," Poland","22-30 Grudziadzka Torun, torunski, Kuyavian-Pomeranian Voivodeship, 87-100 Poland 
                         
                    ","18.6074690674591","53.0175473908707"," torunski","http://www.torunskiecmentarze.pl/327/cmentarz-komunalny-nr-1-ul-grudziadzka-22-30",""
"Swiatniki G�rne, Cmentarz Parafialny","Swiatniki G�rne"," Lesser Poland Voivodeship"," Poland","Sportowa Swiatniki G�rne, Powiat Krakowski, Lesser Poland Voivodeship, 32-040 Poland","19.9480570000001","49.933669"," Powiat Krakowski","",""
"Klodzko, cmentarz","Klodzko"," Lower Silesian Voivodeship"," Poland","3 Szpitalna Klodzko, Powiat Klodzki, Lower Silesian Voivodeship, 57-300 Poland","16.660639203705","50.457333441598"," Powiat Klodzki","",""
"Szalowa Cmentarz Komunalny","Szalowa"," Lesser Poland Voivodeship"," Poland","Szalowa, Powiat Gorlicki, Lesser Poland Voivodeship, 38-331 Poland","21.019728","49.684045"," Powiat Gorlicki","",""
"Szczucin, cmentarz parafialny","Szczucin"," Lesser Poland Voivodeship"," Poland","2 Targowa Szczucin, Powiat Dabrowski, Lesser Poland Voivodeship, 33-230 Poland","21.078946868408","50.302014522529"," Powiat Dabrowski","",""
"Klopot�w, cmentarz komunalny","Klopot�w"," Lower Silesian Voivodeship"," Poland","6 Chabrowa Klopot�w, Powiat Lubinski, Lower Silesian Voivodeship, 59-300 Poland 
                         
                    ","16.254260974237","51.380358704132"," Powiat Lubinski","https://lubin-ksieginice.grobonet.com",""
"Klodzko, cmentarz zydowski","Klodzko"," Lower Silesian Voivodeship"," Poland","18 Bohater�w Getta Klodzko, Powiat Klodzki, Lower Silesian Voivodeship, 57-300 Poland","16.646560982803","50.432472170669"," Powiat Klodzki","",""
"Lichen Stary, Cmentarz","Lichen Stary"," Greater Poland Voivodeship"," Poland","1 Torunska Lichen Stary, Powiat Koninski, Greater Poland Voivodeship, 62-563 Poland","18.357345","52.318973"," Powiat Koninski","",""
"Lisk�w, Cmentarz","Lisk�w"," Greater Poland Voivodeship"," Poland","Ksiedza Waclawa Blizinskiego Lisk�w, Powiat Kaliski, Greater Poland Voivodeship, 62-850 Poland","18.404102672033","51.834945104345"," Powiat Kaliski","",""
"Lichen Stary, Cmentarz","Lichen Stary"," Greater Poland Voivodeship"," Poland","12 Klasztorna Lichen Stary, Powiat Koninski, Greater Poland Voivodeship, 62-563 Poland","18.356238","52.326476"," Powiat Koninski","",""
"Suloszowa Cmentarz parafialny","Suloszowa"," Lesser Poland Voivodeship"," Poland","1 Sloneczna Suloszowa, Powiat Krakowski, Lesser Poland Voivodeship, 32-045 Poland","19.7478100000001","50.26308"," Powiat Krakowski","",""
"Lezenica, cmentarz","Lezenica"," Greater Poland Voivodeship"," Poland","Lezenica, Powiat Pilski, Greater Poland Voivodeship, 64-930 Poland","16.5258119873","53.156099518625"," Powiat Pilski","",""
"Szyszki-Folwark cmentarz parafialny ","Szyszki"," Masovian Voivodeship"," Poland","Szyszki, Powiat Pultuski, Masovian Voivodeship, 06-124 Poland","20.844822235371","52.728356775649"," Powiat Pultuski","",""
"Lewk�w, cmentarz","Lewk�w"," Greater Poland Voivodeship"," Poland","Kolejowa Lewk�w, Powiat Ostrowski, Greater Poland Voivodeship, 63-410 Poland","17.862848","51.689985"," Powiat Ostrowski","",""
"Kloda, cm. par. sw. Bartlomieja (przykoscielny)","Kloda"," Lower Silesian Voivodeship"," Poland","1 Kloda, Powiat Glogowski, Lower Silesian Voivodeship, 67-231 Poland","15.947372","51.658612"," Powiat Glogowski","",""
"Szyman�w Cmentarz","Szyman�w"," Masovian Voivodeship"," Poland","25a Szkolna Szyman�w, Powiat Sochaczewski, Masovian Voivodeship, 96-516 Poland","20.379645","52.159349"," Powiat Sochaczewski","",""
"Kloda, cmentarz komunalny","Kloda"," Lower Silesian Voivodeship"," Poland","Unnamed Road Unnamed Road Kloda, Powiat Glogowski, Lower Silesian Voivodeship, 67-231 Poland","15.961358","51.656655"," Powiat Glogowski","",""
"Lewice, cmentarz","Lewice"," Greater Poland Voivodeship"," Poland","160 Lewice, Powiat Miedzychodzki, Greater Poland Voivodeship, 64-427 Poland","15.976062578816","52.475507453365"," Powiat Miedzychodzki","",""
"Leszno, Cmentarz Zydowski","Leszno"," Greater Poland Voivodeship"," Poland","14 Aleje Jana Pawla Ii Leszno, leszczynski, Greater Poland Voivodeship, 64-100 Poland","16.58425","51.840338"," leszczynski","",""
"Klodzko cmentarz komunalny","Klodzko"," Lower Silesian Voivodeship"," Poland","14 Korytowska Klodzko, Powiat Klodzki, Lower Silesian Voivodeship, 57-300 Poland","16.638024","50.440601"," Powiat Klodzki","",""
"Klobuczyn","Klobuczyn"," Lower Silesian Voivodeship"," Poland","333 Klobuczyn, Powiat Polkowicki, Lower Silesian Voivodeship, 59-180 Poland","15.921804","51.615366"," Powiat Polkowicki","",""
"Szwelice - Cmentarz Parafialny","Szwelice"," Masovian Voivodeship"," Poland","8 Szwelice, Powiat Makowski, Masovian Voivodeship, 06-100 Poland","21.034085","52.792992"," Powiat Makowski","",""
"Szydlowiec Cmentarz zydowski","Szydlowiec"," Masovian Voivodeship"," Poland","58 Wschodnia Szydlowiec, Powiat Szydlowiecki, Masovian Voivodeship, 26-500 Poland","20.8635859999999","51.227129"," Powiat Szydlowiecki","",""
"Klobuczyn, cmentarz przykoscielny","Klobuczyn"," Lower Silesian Voivodeship"," Poland","333 Klobuczyn, Powiat Polkowicki, Lower Silesian Voivodeship, 59-180 Poland","15.927494498325","51.613122655788"," Powiat Polkowicki","",""
"Szydlowiec Cmentarz parafialny","Szydlowiec"," Masovian Voivodeship"," Poland","66 Kamienna Szydlowiec, Powiat Szydlowiecki, Masovian Voivodeship, 26-500 Poland","20.857883","51.218076"," Powiat Szydlowiecki","",""
"Szelk�w Nowy Cmentarz","Stary Szelk�w"," Masovian Voivodeship"," Poland","61 Stary Szelk�w, Powiat Makowski, Masovian Voivodeship, 06-220 Poland","21.207821","52.825575"," Powiat Makowski","",""
